Class_Name,IoU_pct,Accuracy_pct
Road,98.39229149933493,99.13001872344562
Sidewalk,86.8698588614322,94.02454599733719
Building,93.30129793325246,97.28554892557429
Wall,63.264060282059965,70.04702816107908
Fence,65.24299644237608,76.3985625136521
Pole,63.499621366360245,68.43337050071585
Traffic Light,71.05794372756661,75.79873401412193
Traffic Sign,82.38867158647282,86.1485022316608
Vegetation,92.85952928236476,96.98183098009261
Terrain,69.0348503500504,76.78906275204832
Sky,94.99155025388781,98.38460460075422
Person,82.71971903914047,92.6878368469048
Rider,61.39438641814316,67.98895118232676
Car,95.42513782050908,98.59678398985241
Truck,83.52195116709802,90.11680628763526
Bus,92.2629215653206,94.11787983564966
Train,86.36385688406958,91.45444957970159
Motorcycle,71.570323079192,80.50259454494353
Bicycle,77.09296050486716,80.99806671560734
