Class_Name,IoU_pct,Accuracy_pct
Road,98.56644053215395,99.15906341725163
Sidewalk,87.84325256482953,93.98357252079398
Building,93.12628393740037,97.46805643477448
Wall,54.71617352045672,60.31650793390902
Fence,63.515676234352206,72.1588259952051
Pole,71.02430125150244,81.28565529220919
Traffic Light,75.93787326410877,86.20250133682225
Traffic Sign,84.5286267861725,91.34492101417871
Vegetation,93.15319881588405,96.27061289772072
Terrain,67.77841290828377,79.27649033590181
Sky,95.6635254286201,98.48177561592269
Person,85.2006953960488,92.80954828771308
Rider,67.37046619326688,79.3873342525496
Car,96.08921581942873,98.13201194276688
Truck,86.83727911310517,91.4509434242527
Bus,92.87874316740185,95.5764891443454
Train,86.18585114344654,90.75333834796365
Motorcycle,71.81606450392508,83.27892900475037
Bicycle,81.31420879789624,90.18129826004404
