frame_index,preprocess_ms,inference_ms,postprocess_ms,save_ms,total_ms,fps_equivalent
0,85.286,1362.554,10245.343,471.505,12164.795,0.0822
1,13.289,2242.152,10449.735,241.577,12946.791,0.07724
2,13.336,1331.215,3603.222,241.138,5188.948,0.19272
3,13.323,1445.832,3398.374,239.785,5097.352,0.19618
4,13.523,1416.471,3942.904,233.067,5606.007,0.17838
5,13.561,1629.993,3002.45,236.34,4882.384,0.20482
6,13.307,1544.365,2790.869,229.997,4578.575,0.21841
7,13.275,1409.055,2793.896,226.727,4442.988,0.22507
8,13.327,1539.271,3916.608,232.269,5701.509,0.17539
9,13.261,1438.555,3158.97,226.818,4837.639,0.20671
10,13.207,1409.092,3224.185,228.534,4876.672,0.20506
11,15.448,1421.704,2790.807,225.427,4453.42,0.22455
12,13.186,1584.109,2870.069,228.776,4697.838,0.21286
13,15.424,1351.564,2758.974,227.862,4353.86,0.22968
14,13.216,1309.486,2960.497,229.471,4512.705,0.2216
15,13.361,1345.724,2826.704,228.365,4414.191,0.22654
16,13.169,1351.595,3226.588,228.761,4821.783,0.20739
17,15.565,1374.501,2779.413,227.101,4396.618,0.22745
18,13.226,1392.104,2797.146,231.979,4436.13,0.22542
19,15.478,1321.311,2768.588,229.94,4335.354,0.23066
20,13.283,1562.016,2801.132,229.794,4606.26,0.2171
21,13.214,1494.448,3865.902,229.478,5603.085,0.17847
22,13.379,1422.886,2792.999,230.194,4459.496,0.22424
23,13.184,1349.974,2782.703,227.196,4373.095,0.22867
24,13.21,1340.469,2844.329,229.918,4427.965,0.22584
25,15.547,1482.957,2763.617,229.999,4492.158,0.22261
26,13.264,1397.645,2810.644,230.515,4452.105,0.22461
27,13.335,1674.908,3355.863,233.684,5277.825,0.18947
28,13.166,1367.88,2807.466,228.0,4416.548,0.22642
29,13.25,1431.214,3635.2,229.718,5309.418,0.18834
30,13.36,1467.001,2772.701,238.96,4492.058,0.22262
31,13.21,1409.592,2810.199,225.057,4458.092,0.22431
32,16.627,1568.092,2804.655,226.881,4616.289,0.21662
33,13.18,1367.643,2828.882,226.569,4436.311,0.22541
34,13.111,1525.336,3268.215,229.709,5036.419,0.19855
35,13.313,1400.472,2808.598,243.394,4465.812,0.22392
36,13.134,1395.417,3105.262,228.777,4742.625,0.21085
37,13.228,1343.452,2781.87,231.551,4370.135,0.22883
38,13.221,1581.915,2806.957,236.748,4638.876,0.21557
39,16.561,1377.989,2807.73,231.812,4434.132,0.22552
40,13.342,1432.153,2866.575,231.099,4543.205,0.22011
41,13.097,1340.524,3493.671,230.75,5078.076,0.19692
42,13.305,1378.355,2806.051,229.254,4427.0,0.22589
43,13.311,1552.717,2777.049,230.232,4573.347,0.21866
44,16.572,1374.569,3838.5,234.801,5464.477,0.183
45,13.243,1398.218,4296.886,229.838,5940.006,0.16835
46,15.592,1379.619,2788.256,227.518,4411.02,0.2267
47,13.251,1419.655,3732.523,232.028,5399.197,0.18521
48,15.468,1494.357,2784.011,228.463,4522.332,0.22112
49,13.269,1374.751,3125.919,232.284,4747.921,0.21062
50,15.526,1419.613,2782.488,232.019,4449.68,0.22474
51,13.206,1416.461,3239.029,232.917,4903.307,0.20394
52,15.399,1373.003,2785.589,231.872,4405.898,0.22697
53,13.441,1380.334,2817.424,233.65,4446.662,0.22489
54,15.439,1412.368,2785.732,233.063,4446.639,0.22489
55,13.186,1376.596,2816.36,234.508,4440.687,0.22519
56,13.136,1478.272,2791.724,231.425,4514.59,0.2215
