Epoch,Phase,Train_Total_Loss,Train_Main_OHEM_Loss,Train_Aux_Loss,Validation_Loss,Train_mIoU,Validation_mIoU,Train_mAcc,Validation_mAcc,Train_aAcc,Validation_aAcc,Train_Precision_Macro,Validation_Precision_Macro,Train_Recall_Macro,Validation_Recall_Macro,Train_F1_Macro,Validation_F1_Macro,Train_Precision_Micro,Validation_Precision_Micro,Train_Recall_Micro,Validation_Recall_Micro,Train_F1_Micro,Validation_F1_Micro,Learning_Rate,AMP_Scale,AMP_Overflow_Skips,Epoch_Time_sec,Cumulative_Training_Time
1,train/val,13.443428112112958,9.738718382690264,9.261774068293365,8.524258038428286,2.1768905457983507,2.688440519123121,9.041043450837034,9.834025286544229,6.47208208932425,7.569724010261323,7.0025009665680376,15.241394807010245,9.041043450837034,9.834025286544229,4.141888260202634,5.068520189169845,6.47208208932425,7.569724010261323,6.47208208932425,7.569724010261323,6.47208208932425,7.569724010261323,0.0009983202910568178,8192.0,3,19.87870717048645,0:00:19
2,train/val,11.883223642473634,8.299705552018207,8.958795070648193,6.942533753699326,3.3889038705167183,4.881658474712753,10.932005847883673,12.809529318760404,9.184592322302763,12.576163471797635,16.006730949690468,24.133679950829688,10.932005847883673,12.809529318760404,6.359750062433787,8.81778020497734,9.184592322302763,12.576163471797635,9.184592322302763,12.576163471797635,9.184592322302763,12.576163471797635,0.000996460246914143,8192.0,0,18.400410652160645,0:00:38
3,train/val,10.20310815780059,6.698734127956888,8.760934959287228,4.832276474764955,5.194166845332637,7.896489167538864,13.76612395225581,15.879187955541656,13.912326623101887,20.31756394921711,21.908703429955807,25.852360423384035,13.76612395225581,15.879187955541656,9.440797430814673,13.657182745044654,13.912326623101887,20.31756394921711,13.912326623101887,20.31756394921711,13.912326623101887,20.317563949217114,0.0009945998169073496,8192.0,0,18.203656911849976,0:00:56
4,train/val,8.748568016549815,5.4027941576812575,8.364434519539708,3.6775801236794767,8.364201636584218,12.028017769834856,17.240201143606658,20.63442845480785,21.984494743674695,31.487278736416833,25.91183917503137,28.53350276728352,17.240201143606658,20.63442845480785,14.4363625643051,19.319715439757733,21.984494743674695,31.487278736416833,21.984494743674695,31.487278736416833,21.984494743674695,31.487278736416833,0.000992739000154089,8192.0,0,18.174586057662964,0:01:14
5,train/val,7.937103009742239,4.714186104743377,8.057292124499446,3.2147056749779748,11.755020895456628,15.609288471085142,21.51889414434665,25.332384202014346,31.122198825427628,39.99336888561617,27.54809679929078,30.566300019194752,21.51889414434665,25.332384202014346,19.136032703564567,23.648785036768427,31.122198825427628,39.99336888561617,31.122198825427628,39.99336888561617,31.122198825427628,39.99336888561617,0.0009908777957681508,8192.0,0,17.38894009590149,0:01:32
6,train/val,7.218655205291251,4.149064627678498,7.673976333244987,2.1916260717268012,15.796757080376086,20.590420828347458,25.532978981744876,30.387699806483383,41.284449443103554,52.63055284469543,29.79012441743033,32.98564738627704,25.532978981744876,30.387699806483383,24.034426796823848,29.09425214218566,41.284449443103554,52.63055284469543,41.284449443103554,52.63055284469543,41.284449443103554,52.63055284469543,0.000989016202859443,8192.0,0,16.987962245941162,0:01:49
7,train/val,6.58864544785541,3.7345679557841756,7.135193573391955,1.839499137525116,19.351342953084767,23.240570467799447,29.144255882921588,32.48141964534734,49.991124754539776,59.246154098231095,31.288942443469796,33.525265753199754,29.144255882921588,32.48141964534734,27.834340127503726,31.525234688806137,49.991124754539776,59.246154098231095,49.991124754539776,59.246154098231095,49.991124754539776,59.246154098231095,0.0009871542205339603,8192.0,0,17.067489624023438,0:02:06
8,train/val,6.293886011061461,3.593077502820803,6.752021157223245,1.543305024348067,21.73001869142059,26.063653422062117,31.66876925474852,35.50495579049973,55.170257441382475,64.64081179549507,32.31951593763341,35.47628894147612,31.66876925474852,35.50495579049973,30.36750804562638,34.37027400904414,55.170257441382475,64.64081179549507,55.170257441382475,64.64081179549507,55.170257441382475,64.64081179549507,0.000985291847893765,8192.0,0,17.17160701751709,0:02:23
9,train/val,5.96393351710361,3.4082352506077807,6.389245493256527,1.438323502073595,23.475207410774797,26.931044863721095,33.746604192004554,36.93169618713384,59.20348994439709,65.75249469358862,33.41906225477524,36.10364454401363,33.746604192004554,36.93169618713384,32.25623954492593,35.41231626047029,59.20348994439709,65.75249469358862,59.20348994439709,65.75249469358862,59.20348994439709,65.75249469358862,0.0009834290840369554,8192.0,0,17.116706609725952,0:02:40
10,train/val,5.738612986129263,3.3205853584020035,6.045068950756736,1.3588185369303174,25.174563714756964,28.461528692033028,35.68659416986548,38.276851620006695,61.89340951522554,69.35889119819655,34.796360993776,37.29466454500381,35.68659416986548,38.276851620006695,34.1165445897613,36.86557412435042,61.89340951522554,69.35889119819655,61.89340951522554,69.35889119819655,61.89340951522554,69.35889119819655,0.0009815659280576446,8192.0,0,17.131981134414673,0:02:57
