class_id,class_name,train_images,train_pixels,val_images,val_pixels,test_images,test_pixels
0,Sky,367,38573751,100,10835168,232,27392248
1,Building,368,61561049,100,16496452,231,39316217
2,Pole,367,2651582,100,693229,232,1453931
3,Road,369,77600466,100,21103462,232,41831800
4,Pavement,358,18931584,98,4576549,227,10106281
5,Tree,337,27911404,93,7710107,218,18637162
6,SignSymbol,352,2929799,100,785135,226,1509313
7,Fence,212,4264601,56,877159,96,1779301
8,Car,367,10977219,100,3558290,232,9901448
9,Pedestrian,335,1737409,90,463697,218,1201803
10,Bicyclist,186,1220431,52,340397,141,1030394
