split,filename,valid_pixels,void_pixels,unknown_nonvoid_pixels,ignored_pixels_total,total_pixels,valid_fraction,pixels_sky,contains_sky,pixels_building,contains_building,pixels_pole,contains_pole,pixels_road,contains_road,pixels_pavement,contains_pavement,pixels_tree,contains_tree,pixels_signsymbol,contains_signsymbol,pixels_fence,contains_fence,pixels_car,contains_car,pixels_pedestrian,contains_pedestrian,pixels_bicyclist,contains_bicyclist
train,0001TP_009210.png,641271,49929,0,49929,691200,0.9277647569444445,154264,1,53792,1,4059,1,73469,1,39178,1,188052,1,2856,1,0,0,112165,1,13069,1,367,1
train,0001TP_009240.png,654529,36671,0,36671,691200,0.9469458912037036,157468,1,38459,1,3872,1,50285,1,31174,1,181257,1,2858,1,0,0,163559,1,25597,1,0,0
train,0001TP_009390.png,640723,50477,0,50477,691200,0.9269719328703704,160038,1,63588,1,4462,1,71107,1,41976,1,182071,1,3105,1,0,0,107813,1,6221,1,342,1
train,0001TP_009420.png,640757,50443,0,50443,691200,0.9270211226851852,165138,1,62408,1,4377,1,70560,1,42271,1,178948,1,3140,1,0,0,107104,1,6614,1,197,1
train,0001TP_009450.png,642023,49177,0,49177,691200,0.9288527199074074,162175,1,62456,1,5249,1,70884,1,40738,1,184130,1,3080,1,0,0,106080,1,7090,1,141,1
train,0001TP_009480.png,641110,50090,0,50090,691200,0.9275318287037037,166859,1,60851,1,4297,1,71723,1,42897,1,181727,1,2826,1,0,0,101857,1,7884,1,189,1
train,0001TP_009510.png,640816,50384,0,50384,691200,0.9271064814814814,173453,1,61997,1,4238,1,85925,1,41585,1,177593,1,3003,1,0,0,83173,1,9849,1,0,0
train,0001TP_009540.png,638919,52281,0,52281,691200,0.9243619791666666,164462,1,59633,1,4103,1,105904,1,42917,1,187124,1,2474,1,832,1,52898,1,11507,1,7065,1
train,0001TP_009690.png,652499,38701,0,38701,691200,0.9440089699074075,144870,1,90213,1,11209,1,96491,1,53577,1,83615,1,8958,1,800,1,158399,1,4367,1,0,0
train,0001TP_009720.png,647685,43515,0,43515,691200,0.9370442708333333,174611,1,88444,1,19261,1,111000,1,44276,1,89458,1,18628,1,2157,1,95337,1,4513,1,0,0
train,0001TP_009750.png,642838,48362,0,48362,691200,0.9300318287037037,189637,1,126454,1,10704,1,105024,1,35488,1,82312,1,2462,1,4298,1,79614,1,6845,1,0,0
train,0001TP_009780.png,638315,52885,0,52885,691200,0.923488136574074,192391,1,139602,1,12288,1,119363,1,31842,1,73580,1,2981,1,5413,1,54336,1,6519,1,0,0
train,0001TP_009810.png,643076,48124,0,48124,691200,0.9303761574074074,191451,1,146462,1,2685,1,122506,1,25226,1,66963,1,3385,1,4548,1,72054,1,7796,1,0,0
train,0001TP_009840.png,648454,42746,0,42746,691200,0.9381568287037036,188988,1,138579,1,2925,1,117811,1,24087,1,77952,1,3837,1,9385,1,76087,1,8803,1,0,0
train,0001TP_009990.png,639336,51864,0,51864,691200,0.9249652777777778,0,0,365725,1,0,0,58001,1,47874,1,113938,1,8223,1,23468,1,11722,1,10385,1,0,0
train,0001TP_010020.png,647312,43888,0,43888,691200,0.9365046296296297,32164,1,246527,1,3503,1,136928,1,38090,1,156532,1,6456,1,0,0,27112,1,0,0,0,0
train,0001TP_010050.png,635988,55212,0,55212,691200,0.9201215277777778,129169,1,120459,1,2720,1,97748,1,17269,1,211018,1,288,1,9361,1,47561,1,395,1,0,0
train,0001TP_010080.png,656792,34408,0,34408,691200,0.9502199074074074,188930,1,88670,1,4944,1,97373,1,32994,1,124736,1,775,1,32164,1,85486,1,720,1,0,0
train,0001TP_010110.png,658417,32783,0,32783,691200,0.9525708912037038,196793,1,111043,1,7747,1,102029,1,39864,1,90971,1,574,1,37149,1,71327,1,920,1,0,0
train,0001TP_010140.png,654739,36461,0,36461,691200,0.9472497106481481,152818,1,143952,1,7188,1,117162,1,50798,1,119914,1,1031,1,31245,1,28971,1,1660,1,0,0
