Class ID,Class Name,Validation Images,GT Pixels,Predicted Pixels,IoU (%),F1-Score (%),Precision (%),Recall / Class Accuracy (%)
0,Sky,100,10835168,10862398,91.86062458965296,95.75766240323914,95.63763912903947,95.87798730947227
1,Building,100,16496452,16826296,89.17712240135668,94.27897123010383,93.3549011618481,95.22151793609923
2,Pole,100,693229,457303,28.841566795299343,44.77059308215678,56.31933313361163,37.15222531082802
3,Road,100,21103462,20942200,95.5197138616714,97.70852460356075,98.08471889295298,97.33520500096145
4,Pavement,98,4576549,4706637,80.04931425336308,88.91932144847684,87.69048898396031,90.18308336696494
5,Tree,93,7710107,7662841,81.86245624810795,90.02677950904406,90.30443147652417,89.75082965774665
6,SignSymbol,100,785135,687932,54.28080972270516,70.36624946455254,75.33753336085543,66.01043132709663
7,Fence,56,877159,829014,63.58416251675465,77.73877561067957,79.99611586776581,75.60533495067598
8,Car,100,3558290,3726469,84.14358771098536,91.38910429294916,89.32686680071672,93.54881136725787
9,Pedestrian,90,463697,424886,55.0560837032694,71.01441283481677,74.25780091601041,68.04249326607676
10,Bicyclist,52,340397,313669,67.34878722750997,80.48912495069305,83.91839805655006,77.32911864675658
