,Sky,Building,Pole,Road,Pavement,Tree,SignSymbol,Fence,Car,Pedestrian,Bicyclist
Sky,10388541,96741,29262,0,0,312734,6022,0,1829,12,27
Building,80008,15708172,78789,11602,116237,216785,93062,67148,74770,42911,6968
Pole,42355,224570,257550,5309,21802,66377,28694,19060,17349,8349,1814
Road,9,5191,2995,20541098,365619,21004,1006,2413,148094,2903,13130
Pavement,0,63006,8919,306859,4127273,15907,2051,12492,25576,11325,3141
Tree,349368,283036,42655,8562,15323,6919885,24632,38866,23453,3672,655
SignSymbol,1427,193694,19653,61,363,24321,518271,3343,23506,152,344
Fence,0,97707,8419,1072,18379,53746,279,663179,24449,9456,473
Car,678,79614,3421,51455,16198,20382,13276,12716,3328738,16882,14930
Pedestrian,5,63460,5101,2899,21484,6364,486,9423,30003,315511,8961
Bicyclist,7,11105,539,13283,3959,5336,153,374,28702,13713,263226
