Class Name,IoU (%),F1-Score (%),Precision (%),Recall / Class Accuracy (%)
Road,98.3593484023584,99.17288919788461,99.1364689777371,99.20933618759385
Sidewalk,86.21125597915403,92.59510712800862,93.0308016309768,92.1634746089121
Building,93.08015870058529,96.416078510612,96.08784273678805,96.74656447586082
Wall,58.45761028494063,73.7832789221311,86.3962342500368,64.3838968550894
Fence,61.58112670677895,76.22316784376699,83.75298388538695,69.93560400444525
Pole,67.46642306574044,80.57307468644733,81.74234055475988,79.43678810124803
Traffic Light,73.59173828226692,84.78714368607093,85.97664517574104,83.63010695130981
Traffic Sign,80.5582852612045,89.2324438556391,92.85291715442065,85.88371029453266
Vegetation,92.74188724883531,96.23428365532489,95.25844467049613,97.23032279727458
Terrain,64.71179322170934,78.57578617288735,85.77639457571674,72.490480688197
Sky,95.11750995160098,97.4976668933454,96.90405038485649,98.09860100066481
Person,83.6019826562631,91.06871445150077,91.01997368816026,91.11750744370384
Rider,65.51381156085036,79.16416272821381,75.93244069920733,82.68320041142015
Car,95.27604899646612,97.5808856089569,97.09895713699079,98.06762182662375
Truck,77.46294570959,87.30041688404583,93.73712842351716,81.69089247162627
Bus,89.79421989099123,94.62271289669914,95.67128589714682,93.59687577179551
Train,82.37701432586029,90.33705769376616,95.82802436977347,85.44125515679767
Motorcycle,66.07980634096813,79.57596747831434,85.62741462151054,74.32339614622677
Bicycle,79.05673968073211,88.30356212415636,88.02237646011062,88.58655002901848
