,Road,Sidewalk,Building,Wall,Fence,Pole,Traffic Light,Traffic Sign,Vegetation,Terrain,Sky,Person,Rider,Car,Truck,Bus,Train,Motorcycle,Bicycle
Road,342534561,1741770,49874,15111,34554,46059,0,8565,52559,126168,7959,100714,10016,451433,10531,20519,3159,4266,46624
Sidewalk,2243202,45684192,363355,63005,80865,244673,0,4933,244105,228353,0,126011,10731,151542,3280,5800,293,9505,104807
Building,31149,193452,194465846,138031,172596,897778,100665,171820,3689149,9620,433675,290726,43988,166893,16526,11588,14800,7275,149851
Wall,40393,190841,1242891,4325513,276791,56018,43,4274,447669,35247,375,31263,5505,40010,847,323,306,2755,17251
Fence,41675,86444,1193299,273988,5260375,113978,594,15688,296286,33509,1715,37887,2680,59352,1583,95,2378,10888,89327
Pole,30434,154194,1256296,29330,86287,10776123,66433,62285,780129,38894,71298,57030,5104,87082,581,6152,2225,6275,49506
Traffic Light,0,0,106795,0,60,62428,1512361,3645,110653,0,10344,429,431,304,56,218,669,0,0
Traffic Sign,39169,6361,348323,6217,78881,124188,9345,5237509,188462,871,5995,11784,2135,21020,7689,2401,785,465,6773
Vegetation,51450,139164,2211956,55218,125821,551450,63136,84979,154467877,421840,420002,73574,21907,113121,2773,8713,5771,3623,45633
Terrain,85978,746222,36488,68052,62738,41973,0,930,1008127,5527418,0,5162,2278,24482,45,431,929,130,13643
Sky,48,0,185485,0,13,42639,4587,4015,345352,10,30180375,40,52,1061,149,2,1519,0,0
Person,96037,79576,321810,9990,16646,72809,110,4766,109262,2296,678,10855215,170253,85285,2410,2335,418,4225,79303
Rider,5692,3746,24315,133,693,3012,5,607,23985,311,69,160813,1633486,20229,68,1583,0,20631,76218
Car,254490,27099,263580,8391,28973,68974,306,25702,222574,10797,582,62563,15337,58576984,80606,28153,1690,7328,47088
Truck,14659,3754,70607,3902,396,7753,275,6132,28897,658,4052,1085,2305,347080,2254841,10803,0,0,3012
Bus,15518,2281,43331,3202,19591,7255,332,1870,44213,216,34,3026,1000,62237,22603,3334969,936,0,506
Train,2716,248,45084,1,1377,7329,843,1179,26071,0,7443,1095,76,4630,594,50801,881453,0,708
Motorcycle,2834,5634,12890,1002,5126,5963,0,276,7012,84,0,30366,20202,39648,5,0,2422,542126,53825
Bicycle,28213,41545,141178,5513,29038,52635,2,1476,64241,7693,0,77407,203750,74706,307,976,75,13630,5762090
