Epoch,Train_Total_Loss,Train_Main_Loss,Train_Aux_Loss,Validation_Loss,Train_mIoU,Validation_mIoU,Train_mAcc,Validation_mAcc,Train_aAcc,Validation_aAcc,Train_Precision_Macro,Validation_Precision_Macro,Train_Recall_Macro,Validation_Recall_Macro,Train_F1_Macro,Validation_F1_Macro,Train_Precision_Micro,Validation_Precision_Micro,Train_Recall_Micro,Validation_Recall_Micro,Train_F1_Micro,Validation_F1_Micro,Learning_Rate,Epoch_Time_sec,Cumulative_Training_Time
1,3.4910258559388607,2.386089022879482,2.7623420243866104,0.5301059299707412,19.40252361885919,30.6368676903986,25.515920433954907,38.13498475400349,69.04569695438242,84.51618623798544,27.748630031681138,43.74986968732313,25.515920433954907,38.13498475400349,26.093476417173868,38.54025270877771,69.04569695438242,84.51618623798544,69.04569695438242,84.51618623798544,69.04569695438242,84.51618623798542,0.009981553027149672,272.6304407119751,0:04:32
2,1.5561783961104962,1.1354388506042132,1.0518488467501248,0.393746434494853,32.51841166523868,39.699860654837195,39.196888643064405,47.91939002415329,84.95129597044038,87.98001781619476,52.05892161735017,61.136129558987875,39.196888643064405,47.91939002415329,41.62420843211221,50.73630476265376,84.95129597044038,87.98001781619476,84.95129597044038,87.98001781619476,84.95129597044038,87.98001781619476,0.009962952243779773,274.58730578422546,0:09:07
3,1.3414732664322484,1.0216680875182071,0.7995129304198346,0.3391163187325001,39.604548627034966,45.44219123110791,46.84968139868572,54.37628619966412,87.79014837261091,89.67992552656155,61.86745651614876,68.37287200602883,46.84968139868572,54.37628619966412,50.76665676056217,57.69490214220835,87.79014837261091,89.67992552656155,87.79014837261091,89.67992552656155,87.79014837261091,89.67992552656155,0.00994434760098751,275.10346269607544,0:13:42
4,1.2339535057745128,0.9641807473339166,0.6744318827736193,0.28552282583713534,44.23841763651365,49.38227041520255,51.70040539201627,57.83084535460813,89.3210709929196,91.33717913510901,67.10174578428463,75.5395430239011,51.70040539201627,57.83084535460813,56.15424920661014,61.522449603643246,89.3210709929196,91.33717913510901,89.3210709929196,91.33717913510901,89.3210709929196,91.33717913510901,0.00992573908994599,272.21075773239136,0:18:14
5,1.1523024443018413,0.918129296373343,0.5854328603915264,0.26178023536503314,48.39979395909161,55.4307263957205,56.07306218626583,65.51873927384871,90.68351014715668,92.03280382278093,70.71854868054912,73.89086469506371,56.07306218626583,65.51873927384871,60.84351118420292,68.69059524996476,90.68351014715668,92.03280382278093,90.68351014715668,92.03280382278093,90.68351014715668,92.03280382278093,0.009907126701789679,272.64716935157776,0:22:47
6,1.1125378520118365,0.8957986531236786,0.5418479886023727,0.2542209115326405,50.97780368908826,57.11588964372921,59.03199468981859,68.08112345455297,91.31056731865793,92.38387395262212,72.51350082137049,75.35811387236129,59.03199468981859,68.08112345455297,63.67887782937356,70.19333062652476,91.31056731865793,92.38387395262212,91.31056731865793,92.38387395262212,91.31056731865793,92.38387395262212,0.009888510427614162,271.08372735977173,0:27:18
7,1.0854682228712724,0.882616965900593,0.5071281357527421,0.24144878274202347,53.15012475425762,57.85542997063043,61.31252532711669,67.70810038595427,91.64083302938363,92.69079829861533,74.34996142884796,78.15797085896271,61.31252532711669,67.70810038595427,65.9418223296472,70.81375206143322,91.64083302938363,92.69079829861533,91.64083302938363,92.69079829861533,91.64083302938363,92.69079829861533,0.009869890258475959,271.4640896320343,0:31:49
8,1.0643646872596766,0.870275676891799,0.4852225157484242,0.21925872924923898,54.81670228753565,58.940021677075514,62.93769656908793,67.58439119873046,92.03976794603608,93.26644928747996,76.2067451856458,79.7104370779513,62.93769656908793,67.58439119873046,67.82524471342992,71.498651959516,92.03976794603608,93.26644928747996,92.03976794603608,93.26644928747996,92.03976794603608,93.26644928747996,0.009851266185392157,270.4947693347931,0:36:20
9,1.0585046764099926,0.8690792573885222,0.4735635392362829,0.21792436738312243,55.67538375312808,61.48545276510266,64.00262477012532,71.9590270839121,92.17896854305587,93.38555888157234,76.24895390626358,78.0724468458407,64.00262477012532,71.9590270839121,68.50045937697155,74.13823249309756,92.17896854305587,93.38555888157234,92.17896854305587,93.38555888157234,92.17896854305587,93.38555888157234,0.009832638199340204,270.18140149116516,0:40:50
10,1.0242079954140926,0.8516626880124021,0.4313632607480064,0.20714431439340114,57.35035497129209,63.694908195428724,65.74100165731583,73.67378261214927,92.81112193683202,93.70310362411897,77.2629911112989,80.45438126546071,65.74100165731583,73.67378261214927,70.23714063308167,76.10805503360113,92.81112193683202,93.70310362411897,92.81112193683202,93.70310362411897,92.81112193683202,93.70310362411897,0.0098140062912577,271.93897438049316,0:45:22
