epoch,phase,train_total_loss,train_main_loss,train_aux_loss,train_miou,train_macc,train_aacc,val_total_loss,val_miou,val_macc,val_aacc,learning_rate,epoch_time_sec,total_training_time_str,train_Precision_Macro,train_Recall_Macro,train_F1_Macro,train_Precision_Micro,train_Recall_Micro,train_F1_Micro,val_Precision_Macro,val_Recall_Macro,val_F1_Macro,val_Precision_Micro,val_Recall_Micro,val_F1_Micro
1,train/val,3.4910258559388607,2.386089022879482,2.7623420243866104,19.40252361885919,25.515920433954907,69.04569695438242,0.5301059299707412,30.6368676903986,38.13498475400349,84.51618623798544,0.009981553027149672,272.6304407119751,0:04:32,27.748630031681138,25.515920433954907,26.093476417173868,69.04569695438242,69.04569695438242,69.04569695438242,43.74986968732313,38.13498475400349,38.54025270877771,84.51618623798544,84.51618623798544,84.51618623798542
2,train/val,1.5561783961104962,1.1354388506042132,1.0518488467501248,32.51841166523868,39.196888643064405,84.95129597044038,0.393746434494853,39.699860654837195,47.91939002415329,87.98001781619476,0.009962952243779773,274.58730578422546,0:09:07,52.05892161735017,39.196888643064405,41.62420843211221,84.95129597044038,84.95129597044038,84.95129597044038,61.136129558987875,47.91939002415329,50.73630476265376,87.98001781619476,87.98001781619476,87.98001781619476
3,train/val,1.3414732664322484,1.0216680875182071,0.7995129304198346,39.604548627034966,46.84968139868572,87.79014837261091,0.3391163187325001,45.44219123110791,54.37628619966412,89.67992552656155,0.00994434760098751,275.10346269607544,0:13:42,61.86745651614876,46.84968139868572,50.76665676056217,87.79014837261091,87.79014837261091,87.79014837261091,68.37287200602883,54.37628619966412,57.69490214220835,89.67992552656155,89.67992552656155,89.67992552656155
4,train/val,1.2339535057745128,0.9641807473339166,0.6744318827736193,44.23841763651365,51.70040539201627,89.3210709929196,0.28552282583713534,49.38227041520255,57.83084535460813,91.33717913510901,0.00992573908994599,272.21075773239136,0:18:14,67.10174578428463,51.70040539201627,56.15424920661014,89.3210709929196,89.3210709929196,89.3210709929196,75.5395430239011,57.83084535460813,61.522449603643246,91.33717913510901,91.33717913510901,91.33717913510901
5,train/val,1.1523024443018413,0.918129296373343,0.5854328603915264,48.39979395909161,56.07306218626583,90.68351014715668,0.26178023536503314,55.4307263957205,65.51873927384871,92.03280382278093,0.009907126701789679,272.64716935157776,0:22:47,70.71854868054912,56.07306218626583,60.84351118420292,90.68351014715668,90.68351014715668,90.68351014715668,73.89086469506371,65.51873927384871,68.69059524996476,92.03280382278093,92.03280382278093,92.03280382278093
6,train/val,1.1125378520118365,0.8957986531236786,0.5418479886023727,50.97780368908826,59.03199468981859,91.31056731865793,0.2542209115326405,57.11588964372921,68.08112345455297,92.38387395262212,0.009888510427614162,271.08372735977173,0:27:18,72.51350082137049,59.03199468981859,63.67887782937356,91.31056731865793,91.31056731865793,91.31056731865793,75.35811387236129,68.08112345455297,70.19333062652476,92.38387395262212,92.38387395262212,92.38387395262212
7,train/val,1.0854682228712724,0.882616965900593,0.5071281357527421,53.15012475425762,61.31252532711669,91.64083302938363,0.24144878274202347,57.85542997063043,67.70810038595427,92.69079829861533,0.009869890258475959,271.4640896320343,0:31:49,74.34996142884796,61.31252532711669,65.9418223296472,91.64083302938363,91.64083302938363,91.64083302938363,78.15797085896271,67.70810038595427,70.81375206143322,92.69079829861533,92.69079829861533,92.69079829861533
8,train/val,1.0643646872596766,0.870275676891799,0.4852225157484242,54.81670228753565,62.93769656908793,92.03976794603608,0.21925872924923898,58.940021677075514,67.58439119873046,93.26644928747996,0.009851266185392157,270.4947693347931,0:36:20,76.2067451856458,62.93769656908793,67.82524471342992,92.03976794603608,92.03976794603608,92.03976794603608,79.7104370779513,67.58439119873046,71.498651959516,93.26644928747996,93.26644928747996,93.26644928747996
9,train/val,1.0585046764099926,0.8690792573885222,0.4735635392362829,55.67538375312808,64.00262477012532,92.17896854305587,0.21792436738312243,61.48545276510266,71.9590270839121,93.38555888157234,0.009832638199340204,270.18140149116516,0:40:50,76.24895390626358,64.00262477012532,68.50045937697155,92.17896854305587,92.17896854305587,92.17896854305587,78.0724468458407,71.9590270839121,74.13823249309756,93.38555888157234,93.38555888157234,93.38555888157234
10,train/val,1.0242079954140926,0.8516626880124021,0.4313632607480064,57.35035497129209,65.74100165731583,92.81112193683202,0.20714431439340114,63.694908195428724,73.67378261214927,93.70310362411897,0.0098140062912577,271.93897438049316,0:45:22,77.2629911112989,65.74100165731583,70.23714063308167,92.81112193683202,92.81112193683202,92.81112193683202,80.45438126546071,73.67378261214927,76.10805503360113,93.70310362411897,93.70310362411897,93.70310362411897
11,train/val,1.0199780948785784,0.8503910212325986,0.42396767417416126,57.60755411131273,65.87404538403646,92.90153817759402,0.2200310549438,64.13897448595381,75.55067432777894,93.31520828256714,0.009795370452042037,271.6843419075012,0:49:54,77.63734618502266,65.87404538403646,70.3846993294013,92.90153817759402,92.90153817759402,92.90153817759402,79.15449108358851,75.55067432777894,76.68136300098709,93.31520828256714,93.31520828256714,93.31520828256714
12,train/val,0.9872918106520344,0.8302352400578022,0.39264142090390813,60.296996675583436,68.95936655849138,93.43522121057005,0.20519676481187343,62.88717118481774,72.86805888135959,93.85677795205282,0.009776730672550268,272.2116882801056,0:54:26,78.9246759753341,68.95936655849138,72.98545804024423,93.43522121057005,93.43522121057005,93.43522121057005,79.61425913072489,72.86805888135959,75.075843707653,93.85677795205282,93.85677795205282,93.85677795205284
13,train/val,0.980271358636697,0.823944076605106,0.390818198364937,60.43039889336864,68.8662062683797,93.452254588991,0.19574151556193828,66.345734889822,77.23748605826745,94.22847765504541,0.009758086943598695,269.4146625995636,0:58:55,79.60258208269548,68.8662062683797,73.20976254824222,93.452254588991,93.452254588991,93.452254588991,80.62091319536859,77.23748605826745,78.26952778982103,94.22847765504541,94.22847765504541,94.22847765504541
14,train/val,0.9760672013151942,0.8174002920130234,0.3966672691768981,61.24232759160198,69.85659960378844,93.40341761242212,0.1947494721338153,65.8843963894141,75.84136953013355,94.25949284213397,0.009739439255962665,269.4109570980072,1:03:25,79.73931627431065,69.85659960378844,73.91280839452376,93.40341761242212,93.40341761242212,93.40341761242213,81.92192522466148,75.84136953013355,77.92626486182735,94.25949284213397,94.25949284213397,94.25949284213397
15,train/val,0.9542754088661858,0.8069374415605118,0.3683449102073367,62.522187207243995,71.05232415353868,93.70770196003252,0.19407662031054496,66.24970175756427,77.92513629763242,94.23416303659718,0.009720787600376351,268.7171847820282,1:07:53,80.74106390468279,71.05232415353868,75.07986717554122,93.70770196003252,93.70770196003252,93.70770196003252,79.67512697564553,77.92513629763242,78.25216484013451,94.23416303659718,94.23416303659718,94.23416303659718
16,train/val,0.9533233103851544,0.8054013790984882,0.36980482144249954,63.31208396855739,71.84761048411093,93.75990957372017,0.1955605818629265,68.29502503143846,78.51484148662004,94.15545568133032,0.009702131967532437,268.113929271698,1:12:21,81.28628407177946,71.84761048411093,75.7911574975347,93.75990957372017,93.75990957372017,93.75990957372017,82.00577489891775,78.51484148662004,80.02061278465033,94.15545568133032,94.15545568133032,94.15545568133032
17,train/val,0.930350541707727,0.7901041562234946,0.350615958720145,64.67243580962713,73.334964045157,94.12670057637543,0.18037438050657512,68.98317039594927,80.1909156018581,94.56308464899446,0.009683472348081775,270.44401955604553,1:16:52,81.8408476418348,73.334964045157,77.00925961242335,94.12670057637543,94.12670057637543,94.12670057637543,81.22390507869342,80.1909156018581,80.50332877454731,94.56308464899446,94.56308464899446,94.56308464899446
18,train/val,0.9324712187312318,0.795704136138485,0.34191770231314933,65.42877250747901,73.98624237089936,94.19747901424972,0.1828231646567583,69.49505306587326,78.01969053123709,94.60101779910786,0.009664808732633237,270.6756570339203,1:21:23,82.33627239688835,73.98624237089936,77.61956046008045,94.19747901424972,94.19747901424972,94.19747901424972,84.67236687387481,78.01969053123709,80.83975356245479,94.60101779910786,94.60101779910786,94.60101779910786
19,train/val,0.9201705559396711,0.7861307508687325,0.3350995080626965,65.21351669447569,73.56485031176095,94.25271195537222,0.18362018313258888,68.76916617036566,77.56459824888265,94.60807981593487,0.009646141111753355,268.59430480003357,1:25:51,82.55264634673007,73.56485031176095,77.41802565304067,94.25271195537222,94.25271195537222,94.25271195537222,84.37634639131385,77.56459824888265,80.22963689199322,94.60807981593487,94.60807981593487,94.60807981593487
20,train/val,0.9243573407919998,0.7886555832187522,0.3392543915882156,65.33456111189648,73.80475030927929,94.18569427168522,0.17967927678674459,69.53124139253063,78.75935315236292,94.68625762898877,0.00962754477289464,272.8965940475464,1:30:24,82.50354869872555,73.80475030927929,77.52766431099073,94.18569427168522,94.18569427168522,94.18569427168522,84.03143590626601,78.75935315236292,80.90983428503353,94.68625762898877,94.68625762898877,94.68625762898877
21,train/val,0.9176167402198512,0.7811137263455804,0.34125753042677065,65.66049661197528,74.5135837009338,94.1055772751915,0.17833897465467452,70.13361313007154,80.53188914439377,94.79684471225531,0.0096088691289276,268.74747824668884,1:34:53,82.17825328387246,74.5135837009338,77.83743737160908,94.1055772751915,94.1055772751915,94.1055772751915,83.09498216697187,80.53188914439377,81.41264268015598,94.79684471225531,94.79684471225531,94.79684471225531
22,train/val,0.9048084943544649,0.7751996486316853,0.32402210960712063,66.97710746840751,75.33724848725313,94.42695071999263,0.17855035619437695,70.30238833189225,79.91253706607449,94.83531252988729,0.009590189451010646,268.6338427066803,1:39:21,83.6091090670948,75.33724848725313,78.92014084003961,94.42695071999263,94.42695071999263,94.42695071999263,83.57127267782589,79.91253706607449,81.44096489483897,94.83531252988729,94.83531252988729,94.83531252988729
23,train/val,0.8977382016526667,0.7684184733500157,0.3232993156810134,67.20169477208641,75.6215586450754,94.55078992334545,0.17752389113605022,70.10525089488443,79.9824765254369,94.78854400720812,0.009571505729538307,268.67441415786743,1:43:50,83.63262802614709,75.6215586450754,79.08887203320437,94.55078992334545,94.55078992334545,94.55078992334545,83.5012247416503,79.9824765254369,81.25528918362087,94.78854400720812,94.78854400720812,94.78854400720812
24,train/val,0.8933409510559898,0.7696571402407045,0.30920952380144445,67.41044040961826,75.89087956363805,94.68643824528199,0.17899627474695445,70.6624947905951,81.64122808379803,94.80385002357352,0.009552817954861396,268.2349853515625,1:48:18,83.54646328509186,75.89087956363805,79.19339990303244,94.68643824528199,94.68643824528199,94.68643824528199,82.25126727808218,81.64122808379803,81.77569950801603,94.80385002357352,94.80385002357352,94.80385002357352
25,train/val,0.8987157399532534,0.7699967066593915,0.32179758002293857,67.63360915524274,75.93815135470173,94.50971393850106,0.1702948760986328,71.76859691525564,81.72349007528554,95.01880555867398,0.009534126117286655,268.6331079006195,1:52:47,83.88758829104115,75.93815135470173,79.42873213174214,94.50971393850106,94.50971393850106,94.50971393850106,83.87660168649762,81.72349007528554,82.6302720225938,95.01880555867398,95.01880555867398,95.01880555867398
26,train/val,0.8927997986422181,0.7653965764223688,0.31850805198216325,68.82866520557543,77.04038325367875,94.62678806754835,0.18602934701740742,70.40541735752046,81.01792496618617,94.75058195909504,0.00951550560200208,267.99597096443176,1:57:15,84.68956584578228,77.04038325367875,80.39516249459693,94.62678806754835,94.62678806754835,94.62678806754835,82.75691115025798,81.01792496618617,81.61688228923983,94.75058195909504,94.75058195909504,94.75058195909504
27,train/val,0.8850315460721037,0.7614448643524373,0.3089666984870118,68.53260915037133,76.90058835571001,94.78548072622362,0.16674417615681886,72.71016106914591,82.43309637142349,95.21808594635654,0.009496805625855255,267.8149275779724,2:01:43,84.27352135650615,76.90058835571001,80.16559602016102,94.78548072622362,94.78548072622362,94.78548072622362,84.60070267483555,82.43309637142349,83.27252537035088,95.21808594635654,95.21808594635654,95.21808594635654
28,train/val,0.8776781719927028,0.7573995860976185,0.300696464772784,69.67546037177806,77.95598931056071,94.81868506938181,0.1734881208240986,71.19598754253354,81.42635666360692,94.96085241962881,0.009478101557503216,268.10565853118896,2:06:11,84.98606636013734,77.95598931056071,81.09117160684123,94.81868506938181,94.81868506938181,94.81868506938181,83.8639570437615,81.42635666360692,82.06684660264807,94.96085241962881,94.96085241962881,94.96085241962881
29,train/val,0.8725237948187422,0.7541526696107976,0.2959278105547064,69.09245264748151,77.64668915996658,94.85868046130183,0.17439321761578322,71.05683958548717,81.15084470373488,95.02776775529114,0.00945939338707367,267.09397530555725,2:10:38,84.35923150114611,77.64668915996658,80.65904906624209,94.85868046130183,94.85868046130183,94.85868046130183,83.68945363791372,81.15084470373488,81.96539696344223,95.02776775529114,95.02776775529114,95.02776775529114
30,train/val,0.8726931762879698,0.753901121134556,0.29698013630523407,70.6738887309521,78.9935070010543,94.97070157209862,0.1711289445385337,73.26023112866751,82.5445999564501,95.18321500276753,0.009440681104648749,267.18694496154785,2:15:05,85.39322491822408,78.9935070010543,81.91165706784027,94.97070157209862,94.97070157209862,94.97070157209862,85.35272487345725,82.5445999564501,83.69542437837481,95.18321500276753,95.18321500276753,95.18321500276753
31,train/val,0.8685879145962485,0.7487995013063516,0.29947103161637867,70.97013566393852,79.2795320114938,94.99523371887729,0.16799105681478976,72.2568864751519,81.73883974159094,95.08440947039618,0.00942196470026473,269.35735726356506,2:19:34,85.58649382263438,79.2795320114938,82.13254602917708,94.99523371887729,94.99523371887729,94.99523371887729,84.99596190188065,81.73883974159094,82.96223195523032,95.08440947039618,95.08440947039618,95.08440947039617
32,train/val,0.8682492324868223,0.7471891259016731,0.30265026334635586,70.54509972946255,78.66991195921453,94.82154239411739,0.17164956576377152,71.09619343000868,81.60118362449384,95.11134295134151,0.009403244163911648,268.8353886604309,2:24:03,85.56052703627485,78.66991195921453,81.73761415172135,94.82154239411739,94.82154239411739,94.82154239411739,83.30249203780375,81.60118362449384,82.02546812262456,95.11134295134151,95.11134295134151,95.11134295134151
