Class ID,Class Name,Validation Images,GT Pixels,Predicted Pixels,IoU (%),F1-Score (%),Precision (%),Recall / Class Accuracy (%)
0,Road,40,4204606,4230759,93.95504944202685,96.88332395812157,96.58387537555319,97.18463513584864
1,Sidewalk,30,708345,675588,67.31706668343142,80.4664676685938,82.41724246138179,78.6059053145007
2,Building,28,1826231,1798315,86.82080841432922,92.94554407641674,93.66696046020859,92.23515535548351
3,Wall,9,182144,134412,66.19293870586691,79.65794361819079,93.80189268815285,69.22050685172172
4,Fence,18,96928,84518,32.59525584250449,49.16504083859661,52.77455689912208,46.01766259491581
5,Pole,39,192873,171408,48.40868906289467,65.23700110628883,69.32173527489965,61.606860472953706
6,Traffic Light,18,34116,28160,54.25542455166947,70.34491617958764,77.7840909090909,64.20447883690937
7,Traffic Sign,37,65986,61717,62.207854892795446,76.70140873746114,79.35414877586402,74.22028915224442
8,Vegetation,40,5860069,5985793,91.30753423905354,95.45628676072708,94.45381756435613,96.48026328700226
9,Terrain,37,1895127,1892782,82.0302336991806,90.1281419379399,90.18397258638343,90.07238037345255
10,Sky,40,1788279,1796375,94.89928959555989,97.38289943743524,97.16345417855403,97.6033381815701
11,Person,11,20922,11720,40.12449023395578,57.269775136327425,79.75255972696246,44.67546123697544
12,Rider,6,4731,957,9.70106075216972,17.68635724331927,52.56008359456635,10.632001690974423
13,Car,40,1081806,1102310,90.46637365703921,94.99458819952787,94.11109397537898,95.89482772327015
14,Truck,10,47278,39989,66.72143362054143,80.03941925355518,87.33401685463502,73.86945302254748
15,Bus,1,451,893,0.0,,0.0,0.0
16,Train,2,559,411,0.0,,0.0,0.0
17,Motorcycle,1,2113,19,0.0,,0.0,0.0
18,Bicycle,12,12710,9148,31.579581025764508,48.00073199743801,57.34586794927853,41.27458693941778
