,Road,Sidewalk,Building,Wall,Fence,Pole,Traffic Light,Traffic Sign,Vegetation,Terrain,Sky,Person,Rider,Car,Truck,Bus,Train,Motorcycle,Bicycle
Road,4086231,52718,1831,601,4867,1199,0,333,2551,32172,0,124,0,21919,35,0,0,0,25
Sidewalk,86380,556801,4968,435,370,2938,0,150,11578,41948,0,643,11,1799,4,0,0,0,320
Building,442,17779,1684427,229,3267,9284,295,2427,77956,914,14080,109,103,12726,78,0,411,7,1697
Wall,747,5744,9469,126081,993,1503,0,132,11456,24771,10,1,18,1219,0,0,0,0,0
Fence,4503,4015,683,738,44604,2048,0,905,19995,9825,842,0,0,8433,0,0,0,0,337
Pole,1121,2928,14680,1058,3427,118823,1591,1682,34571,4976,5923,256,12,1519,279,0,0,0,27
Traffic Light,0,0,2742,0,0,2653,21904,338,5944,0,434,0,0,0,101,0,0,0,0
Traffic Sign,432,87,4928,101,1041,1017,618,48975,7017,589,619,0,15,520,27,0,0,0,0
Vegetation,1950,5906,50829,4299,18139,18401,2997,3281,5653810,63041,28978,581,81,6813,543,90,0,0,330
Terrain,36804,25776,2285,231,2071,5058,0,583,111073,1706986,0,118,0,3936,40,0,0,0,166
Sky,0,0,3694,6,0,5079,750,408,32791,0,1745420,0,0,27,104,0,0,0,0
Person,190,1129,6676,93,0,416,0,117,1133,267,0,9347,199,1174,0,0,0,0,181
Rider,0,5,288,0,0,0,0,2,2382,297,0,244,503,223,0,0,0,2,785
Car,10638,1637,7741,539,5736,1788,0,489,8397,3571,0,6,0,1037396,3835,0,0,0,33
Truck,1275,46,2021,1,0,770,5,1834,2184,1154,69,0,0,2386,34924,608,0,0,1
Bus,0,0,298,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0
Train,7,0,35,0,3,4,0,23,171,42,0,0,0,60,19,195,0,0,0
Motorcycle,0,11,3,0,0,305,0,0,179,0,0,0,2,1613,0,0,0,0,0
Bicycle,39,1006,717,0,0,122,0,38,2605,2229,0,291,13,394,0,0,0,10,5246
