Epoch,Phase,Train_Total_Loss,Train_Main_OHEM_Loss,Train_Aux_Loss,Validation_Loss,Train_mIoU,Validation_mIoU,Train_mAcc,Validation_mAcc,Train_aAcc,Validation_aAcc,Train_Precision_Macro,Validation_Precision_Macro,Train_Recall_Macro,Validation_Recall_Macro,Train_F1_Macro,Validation_F1_Macro,Train_Precision_Micro,Validation_Precision_Micro,Train_Recall_Micro,Validation_Recall_Micro,Train_F1_Micro,Validation_F1_Micro,Learning_Rate,Epoch_Time_sec,Cumulative_Training_Time
1,train/val,8.455069303512573,5.607300239801407,7.119422376155853,1.7810940245624005,4.929472851968033,13.308460166172598,9.34104752030669,18.90862488629846,20.172770637889816,59.16495360902697,15.29663419511597,22.090278395230502,9.34104752030669,18.90862488629846,8.820361803514237,24.020589813605227,20.172770637889816,59.16495360902697,20.172770637889816,59.16495360902697,20.172770637889816,59.16495360902697,0.0009991366173723974,8.543254375457764,0:00:08
2,train/val,4.86524972319603,3.2160635203123094,4.1229654312133786,1.0043488702654395,16.835831035426466,21.214234871902686,22.203510352291502,25.84075700407327,65.85507674899765,77.53191990313158,23.09335080423198,28.999053433642636,22.203510352291502,25.84075700407327,24.936054061020073,41.39309904935038,65.85507674899765,77.53191990313158,65.85507674899765,77.53191990313158,65.85507674899765,77.53191990313158,0.000998206727977706,7.194746017456055,0:00:15
3,train/val,3.0037845253944395,2.1308504909276964,2.1823350131511687,0.7812059698093909,20.659706276354626,23.446993131153267,26.49884918862016,29.31056672299455,73.30988860240024,78.68234346950842,28.837704580482026,31.011259761827404,26.49884918862016,29.31056672299455,28.25891458567668,39.35304701171414,73.30988860240024,78.68234346950842,73.30988860240024,78.68234346950842,73.30988860240025,78.68234346950842,0.0009972767423232901,7.18748664855957,0:00:22
4,train/val,2.333592513203621,1.61997549533844,1.784042540192604,0.6659707559265119,21.232235737594028,23.771552792519245,26.88950231542546,28.549524273795825,74.37052990420287,80.69737525210435,30.0168127724358,31.940009074851066,26.88950231542546,28.549524273795825,37.238614211993365,45.640590954447276,74.37052990420287,80.69737525210435,74.37052990420287,80.69737525210435,74.37052990420287,80.69737525210435,0.0009963466602994253,7.244225740432739,0:00:30
5,train/val,2.1033547848463057,1.5172874093055726,1.4651684254407882,0.6085145046720233,22.938289454382023,25.076514489378397,28.905491005332497,30.100894902062603,76.85003977531021,81.63522507341636,30.447511080017303,33.87510784375953,28.905491005332497,30.100894902062603,39.31004377841642,44.720880245728075,76.85003977531021,81.63522507341636,76.85003977531021,81.63522507341636,76.85003977531021,81.63522507341636,0.00099541648179615,7.287911891937256,0:00:37
6,train/val,2.0827484011650084,1.5045698583126068,1.445446352660656,0.6065738367902203,23.843552040567605,25.80770556808238,29.24919176150033,30.864674539684643,77.56864979297953,81.590288169822,37.91812631301535,35.6873957710637,29.24919176150033,30.864674539684643,35.910408671279804,50.15594201489259,77.56864979297953,81.590288169822,77.56864979297953,81.590288169822,77.56864979297953,81.59028816982202,0.0009944862067032608,7.541450023651123,0:00:44
7,train/val,1.8737902969121933,1.347751136124134,1.3150978729128837,0.5734946586318188,26.612318687354446,26.72636464624031,33.08859827493654,31.701297803550943,78.61059506656083,82.74538850283218,38.02712448827184,36.124713632967556,33.08859827493654,31.701297803550943,46.46582597156847,47.65348500188958,78.61059506656083,82.74538850283218,78.61059506656083,82.74538850283218,78.61059506656083,82.7453885028322,0.0009935558349103144,7.609285593032837,0:00:52
8,train/val,1.8008373737335206,1.2975262716412543,1.258277752995491,0.5309104364204117,27.604435407937487,27.983716248331277,33.984210031145615,33.01546572151633,79.73870536168135,83.74892941988011,38.93466959986356,44.379824019609536,33.984210031145615,33.01546572151633,44.68716410118558,50.09722595158901,79.73870536168135,83.74892941988011,79.73870536168135,83.74892941988011,79.73870536168135,83.74892941988013,0.0009926253663066268,7.614745140075684,0:01:00
9,train/val,1.6372896403074264,1.2211901009082795,1.0402488455176353,0.5060851151104555,28.148077723063057,27.714071221760424,33.57159582114305,32.216599034880105,81.50185328737435,84.26071082192703,46.76873391680012,48.79404567462304,33.57159582114305,32.216599034880105,45.31427666762966,53.19956604788049,81.50185328737435,84.26071082192703,81.50185328737435,84.26071082192703,81.50185328737435,84.26071082192703,0.0009916948007812714,7.645295143127441,0:01:07
10,train/val,1.6759091526269914,1.2503835558891296,1.0638139605522157,0.5250281810036563,27.748172996456432,28.134031486963966,33.95105731520717,33.440965695071974,80.24973866025155,83.76905671447768,41.94734963978449,46.573301582945525,33.95105731520717,33.440965695071974,41.9828586657085,54.3345095761653,80.24973866025155,83.76905671447768,80.24973866025155,83.76905671447768,80.24973866025155,83.76905671447768,0.0009907641382230791,7.497840404510498,0:01:15
