Metric,Value
Best Validation mIoU (Macro),53.61%
Best Validation mAcc (Macro Recall),59.67%
Best Validation aAcc (Global Pixel Accuracy),93.65%
Best Validation Macro F1,74.52%
Best Validation Macro Precision,68.35%
Best Validation Micro F1,93.65%
Best Validation Loss,0.201735
Best Epoch,865
Training Epoch Schedule,968
Initial Learning Rate,0.001
Physical Batch Size,4
Gradient Accumulation,3
Effective Batch Size,12
Training Sampling,Class-balanced WeightedRandomSampler
Validation Protocol,"Single-scale, no horizontal flip"
Mask Encoding,raw_label_ids
Successful Updates at Best Epoch,12105
AMP Skipped Updates at Best Epoch,5
Total Training Time,2:07:14
