epoch,phase,train_total_loss,train_seg_loss,train_detail_loss,train_epnet_loss,train_miou,train_macc,train_aacc,val_total_loss,val_miou,val_macc,val_aacc,learning_rate,epoch_time_sec,total_training_time_str,train_Precision_Macro,train_Recall_Macro,train_F1_Macro,train_Precision_Micro,train_Recall_Micro,train_F1_Micro,val_Precision_Macro,val_Recall_Macro,val_F1_Macro,val_Precision_Micro,val_Recall_Micro,val_F1_Micro
1,train/val,13.099725532531739,11.675600266456604,1.4241253286600113,0.0,3.124508445087584,6.334578180764584,9.033991686436666,2.699771690368652,5.426734594500645,9.185769976860444,14.937976361650781,5e-05,14.786588668823242,0:00:14,7.117640975487887,6.334578180764584,5.631988844308439,16.57096387412267,16.57096387412267,16.57096387412267,11.509725024451848,9.185769976860444,8.741770057470362,25.99310834331839,25.99310834331839,25.99310834331839
2,train/val,9.686034405231476,8.438134157657624,1.2479002475738525,0.0,5.779046611974894,9.741299900763309,15.24679629163033,2.2049215853214266,7.985201530428839,12.809751081942554,20.83722263502525,0.0001,11.459648370742798,0:00:26,11.833017548511174,9.741299900763309,9.601023337760035,26.459384177671257,26.459384177671257,26.459384177671257,14.470234092357263,12.809751081942554,12.764969187557984,34.48808600634864,34.48808600634864,34.48808600634864
3,train/val,7.571803843975067,6.4132839918136595,1.1585198104381562,0.0,7.526690662513166,12.34053515045401,19.05197324952673,2.4177325040102007,8.017376809475348,14.341781234627845,25.22303342125906,0.00015,11.558075428009033,0:00:37,14.042323289385896,12.34053515045401,12.25333292224576,32.00614442499795,32.00614442499795,32.00614442499795,14.512249227211488,14.341781234627845,12.70684709530889,40.284974308851005,40.284974308851005,40.284974308851005
4,train/val,6.13029899597168,5.033281981945038,1.0970170348882675,0.0,8.957592772927178,14.53275789422081,22.645180367882375,2.1348067224025726,8.695833240198837,15.843705515782561,22.378780568473214,0.0002,11.473631620407104,0:00:49,15.180475941823278,14.53275789422081,14.130704099642086,36.92795803301304,36.92795803301304,36.92795803301304,15.81201500260554,15.843705515782561,13.836153191404598,36.57297525685324,36.57297525685324,36.57297525685324
5,train/val,5.348580002784729,4.3075291335582735,1.0410508260130882,0.0,9.807301158420925,15.30766982553779,25.258451660820736,1.8796089887619019,9.874907384036161,15.189133550196754,26.690824125164838,0.00025,11.54612135887146,0:01:00,15.812261196257865,15.30766982553779,15.097267486973756,40.330135533235655,40.330135533235655,40.33013553323565,17.484009193489396,15.189133550196754,15.360044689228564,42.13537059131529,42.13537059131529,42.13537059131529
6,train/val,4.639867842197418,3.6495511651039125,0.9903166890144348,0.0,9.79144793750646,14.986391054242834,26.254190177931903,1.82975163012743,11.97444792235256,20.067272616454513,30.039689096963656,0.0003,11.516464948654175,0:01:12,15.775813608478058,14.986391054242834,15.083750585818864,41.58941598838262,41.58941598838262,41.58941598838262,18.72102725447144,20.067272616454513,17.36039416674167,46.20080116396566,46.20080116396566,46.20080116396566
7,train/val,4.366090661287307,3.415378051996231,0.9507126107811927,0.0,9.825390648649377,15.14546329373431,27.855648213932987,1.8988823473453522,9.632102164751263,15.873902928406483,30.089650434034542,0.00035,11.580131530761719,0:01:23,16.478718407774966,15.14546329373431,15.288982090310494,43.57359037799229,43.57359037799229,43.57359037799229,16.432604078999535,15.873902928406483,13.906488695485415,46.25986822724581,46.25986822724581,46.25986822724581
8,train/val,4.151087379455566,3.217969220876694,0.9331181660294533,0.0,10.988372349865335,17.355035503785274,29.70406826794821,2.7331489831209184,8.583259378532537,15.826263284038122,23.011330280264687,0.0004,11.458197593688965,0:01:35,17.39837199483929,17.355035503785274,16.405185813562564,45.802832038520606,45.802832038520606,45.8028320385206,15.488100526482414,15.826263284038122,13.370408065453338,37.41335083172661,37.41335083172661,37.4133508317266
9,train/val,3.944314807653427,3.04914910197258,0.8951656877994537,0.0,10.051060740060803,16.74449812014172,24.7439979258451,2.011636698246002,10.502888836385608,17.203324331248762,29.308811685866793,0.00045000000000000004,11.417940378189087,0:01:46,17.46682951444606,16.74449812014172,15.662621640684868,39.67164486832358,39.67164486832358,39.67164486832358,19.713930207365344,17.203324331248762,16.13211334805542,45.331499537815624,45.331499537815624,45.331499537815624
10,train/val,3.9572554349899294,3.0757259726524353,0.8815294489264488,0.0,10.722270122001683,17.974699098931673,24.75620200994356,2.0795101284980775,10.456217341847296,22.176859003241304,21.933253635407528,0.0005,11.449027299880981,0:01:58,18.516242696568007,17.974699098931673,16.776621192470653,39.687328743737154,39.687328743737154,39.687328743737154,19.550189178537767,22.176859003241304,16.244092459248876,35.97583592904052,35.97583592904052,35.97583592904052
