epoch,phase,train_total_loss,train_main_loss,train_aux_loss,train_miou,train_macc,train_aacc,val_total_loss,val_miou,val_macc,val_aacc,learning_rate,epoch_time_sec,total_training_time_str,train_Precision_Macro,train_Recall_Macro,train_F1_Macro,train_Precision_Micro,train_Recall_Micro,train_F1_Micro,val_Precision_Macro,val_Recall_Macro,val_F1_Macro,val_Precision_Micro,val_Recall_Micro,val_F1_Micro
1,train/val,1.0442759716964287,0.6498729469983474,0.9860075505693322,34.58251830063817,43.382443185828976,68.35123036786293,0.2504859084635973,49.603742260038516,57.05560384972279,84.62270038886477,0.09924968654093967,108.64950180053711,0:01:48,43.68266880054898,43.382443185828976,43.063319139022894,81.20074943142286,81.20074943142286,81.20074943142286,63.638151763953324,57.05560384972279,57.470439488876515,91.6709594330781,91.6709594330781,91.6709594330781
2,train/val,0.5224387985856637,0.3483481559416522,0.4352266003742166,48.307034101869206,56.430599442112786,79.79130068559198,0.22553905121982099,52.4747016688356,60.090699795080724,86.11924851522045,0.0984987422935722,105.54852890968323,0:03:34,68.10369092717065,56.430599442112786,57.68986519469621,88.75991261126268,88.75991261126268,88.75991261126268,70.78982104213122,60.090699795080724,61.24164987142685,92.54201185771261,92.54201185771261,92.54201185771261
3,train/val,0.41791625904000324,0.28307865616743977,0.33709399936639745,54.071719652890835,61.410664711114606,83.37757299463262,0.21765097931027413,55.81515677851622,64.72546907245996,86.3332378243502,0.09774716137503496,106.39747476577759,0:05:20,70.796178353463,61.410664711114606,63.28915282366353,90.93540898490683,90.93540898490683,90.93540898490683,70.30576434803874,64.72546907245996,65.24620519320933,92.66541904427541,92.66541904427541,92.66541904427541
4,train/val,0.3441119729338781,0.23290197223262943,0.2780249973192163,57.501302589181066,64.96664944633125,85.44875541358327,0.1999368966370821,55.32755397922365,61.23892862575704,87.3949518928791,0.09699493779682662,105.94966650009155,0:07:06,73.2140898730314,64.96664944633125,66.64932186124575,92.15349568997382,92.15349568997382,92.15349568997382,75.43206035333526,61.23892862575704,64.15581809328455,93.2735391322994,93.2735391322994,93.2735391322994
5,train/val,0.3179629462892595,0.21511342915017967,0.2571237869155796,58.99775840167446,65.7228412668569,86.52414451992036,0.17132506616413593,60.56141193718747,67.3106670649319,88.89898889423861,0.09624206546198262,106.94825673103333,0:08:53,73.85948661770118,65.7228412668569,68.06708731664509,92.77527554689283,92.77527554689283,92.77527554689283,76.99317709357175,67.3106670649319,69.4784852590628,94.12330835080506,94.12330835080506,94.12330835080506
6,train/val,0.3050848759872758,0.20664013031384218,0.24611185976992483,61.58930165825095,68.76384079680348,86.97823148182326,0.16589990846812724,60.984903352533905,68.78629751657382,89.06371153452649,0.09548853816214997,105.99990940093994,0:10:39,75.36770141953443,68.76384079680348,70.84325912071118,93.03567671221522,93.03567671221522,93.03567671221522,74.37364299926462,68.78629751657382,70.25415538900482,94.21555391211267,94.21555391211267,94.21555391211267
7,train/val,0.3077891426889793,0.20876203926847034,0.24756775282161392,61.29147088421203,68.42678296008376,86.80468461770367,0.16046318605542184,61.07596482123707,66.26310531652591,89.51651212471998,0.09473434957455691,106.00299763679504,0:12:25,75.2550546119954,68.42678296008376,70.67787500298772,92.93630381416794,92.93630381416794,92.93630381416794,78.7937276523461,66.26310531652591,70.21464578179383,94.46829843070303,94.46829843070303,94.46829843070303
8,train/val,0.256214949828775,0.1758543663536725,0.20090145484098923,62.89250598723222,69.09317199689399,88.60542421297795,0.15109027609229086,62.72199772924426,70.70931102657038,89.73633182920643,0.09397949325887223,105.8573842048645,0:14:11,77.39075172487773,69.09317199689399,71.63486807484364,93.95851109024574,93.95851109024574,93.95851109024574,75.95044320599625,70.70931102657038,71.91681573048758,94.59056256024147,94.59056256024147,94.59056256024147
9,train/val,0.2495904836560721,0.16809166222810745,0.20374704954092918,64.37694962190513,71.15483942461978,89.0293040000888,0.13839996442198754,64.26243401750456,70.95164019122964,90.7469726706168,0.09322396265394996,106.22211194038391,0:15:57,77.01598894131698,71.15483942461978,73.07422909108297,94.19629879190263,94.19629879190263,94.19629879190263,77.69629561099268,70.95164019122964,72.89678285674977,95.1490567845806,95.1490567845806,95.1490567845806
10,train/val,0.2314341730316696,0.15517573580955682,0.19064608941097622,66.43994504936984,72.51251634779373,89.75409588846028,0.14881589993834496,64.21740529529339,71.32463903717104,90.20735287554724,0.09246775107445347,105.91146850585938,0:17:43,79.18845032811423,72.51251634779373,74.83517382454382,94.60043059225326,94.60043059225326,94.60043059225326,77.15440045343239,71.32463903717104,72.96315993945719,94.8515938125378,94.8515938125378,94.8515938125378
11,train/val,0.22740179190979057,0.1538805382164276,0.1838031287871949,66.22243504983489,72.36347057011105,89.58776563347722,0.13530775796622038,65.25954480439681,71.56346869563784,90.69555320330979,0.09171085170735381,105.89037823677063,0:19:29,78.72400110333987,72.36347057011105,74.71190344560839,94.50796082134733,94.50796082134733,94.50796082134733,79.17199605868215,71.56346869563784,73.72592330500353,95.12078460121705,95.12078460121705,95.12078460121705
12,train/val,0.2179325856268406,0.14577517990508806,0.18039351106499849,67.17982997585705,73.18207779817222,90.2460151507532,0.13241598278284072,65.74804875723456,71.77153222510377,90.9616874607455,0.09095325760829623,105.9974992275238,0:21:15,79.31304963691565,73.18207779817222,75.34174229880553,94.87296233694164,94.87296233694164,94.87296233694164,79.7247106865282,71.77153222510377,74.05593776745506,95.26694979530255,95.26694979530255,95.26694979530255
13,train/val,0.20352590286537356,0.13742549403611085,0.16525101908685072,68.27660384816106,74.09865519841804,90.62339125426668,0.12726250428706407,67.05683714093638,72.57943108916886,91.36011458715299,0.09019496169782865,106.02786326408386,0:23:01,80.13658771418432,74.09865519841804,76.33185688395928,95.08108176859253,95.08108176859253,95.08108176859253,80.1679608855276,72.57943108916886,75.46638198162391,95.48501241677921,95.48501241677921,95.48501241677921
14,train/val,0.21133587250243063,0.14348602098534288,0.16962462505730597,67.98583262837475,74.28593831380041,90.13011498232281,0.13236130848526956,65.8508540753392,71.8953293511222,90.8768952448765,0.08943595675748564,106.04925727844238,0:24:47,79.33013571745478,74.28593831380041,76.3092820092009,94.80887863629872,94.80887863629872,94.80887863629872,79.19596069116757,71.8953293511222,74.36815565863898,95.22042479608679,95.22042479608679,95.22042479608679
15,train/val,0.2243001709651688,0.1516305209218484,0.18167412303307134,68.29869256522501,74.20927088918936,89.93081959127821,0.12855157665908337,67.18374374736084,72.86786796678768,91.09650999782404,0.08867623542572073,105.95471620559692,0:26:33,79.94258321661957,74.20927088918936,76.3433811730613,94.69850104875546,94.69850104875546,94.69850104875546,79.96528993946686,72.86786796678768,75.56811874509181,95.34084112667607,95.34084112667607,95.34084112667607
16,train/val,0.19801703087337638,0.13222583369149463,0.16447799201325877,69.20063190331769,74.92293541546047,91.01169553738445,0.12704365801066161,66.68329698733444,71.82258080779629,91.29587740402123,0.08791579019367991,106.04056739807129,0:28:19,80.26621136027718,74.92293541546047,76.96485670713741,95.29436957390058,95.29436957390058,95.2943695739006,81.23225539828418,71.82258080779629,74.85934543990986,95.44991626892437,95.44991626892437,95.44991626892437
17,train/val,0.19365786477599456,0.1289837450882339,0.1616852976705717,69.14654511750786,74.88722756553639,91.11813036287802,0.12642321288585662,67.07350132176842,73.24076073722607,91.32619104838041,0.08715461340080831,106.01576447486877,0:30:05,80.27773066928407,74.88722756553639,76.98807211622967,95.35268076332795,95.35268076332795,95.35268076332795,79.75311498707683,73.24076073722607,75.54121570051208,95.46648114192257,95.46648114192257,95.46648114192257
18,train/val,0.18760531561692123,0.12433556044150305,0.1581743860050388,69.91938740171109,75.52032591071371,91.52877323440573,0.1275181443989277,66.5130525848519,71.95618450461623,91.15919065036773,0.08639269723028192,106.02216267585754,0:31:51,80.83893836784341,75.52032591071371,77.58228479176844,95.57704744695117,95.57704744695117,95.57704744695117,80.70396561331454,71.95618450461623,74.77195323440843,95.37515862064816,95.37515862064816,95.37515862064816
19,train/val,0.17100007380561336,0.11447136625445084,0.14132176697983043,69.89506745004724,75.58163036242962,92.00878368972347,0.1188374263420701,68.73732794282571,74.43374099750628,91.83958083795214,0.08563003370425575,105.96444344520569,0:33:37,80.52182622386393,75.58163036242962,77.51843696016934,95.83809857199557,95.83809857199557,95.83809857199557,80.25909565370792,74.43374099750628,76.8692574658785,95.74622758952908,95.74622758952908,95.74622758952908
20,train/val,0.19301544295866851,0.12973910434495495,0.15819084431733127,70.36090724641764,75.99865033130126,91.20712738871843,0.1213404569774866,67.00039590602887,71.40066073877526,91.57854378398325,0.08486661467891869,105.75923204421997,0:35:23,80.90864286265844,75.99865033130126,77.98255797686568,95.40138867658112,95.40138867658112,95.40138867658112,81.82205936151091,71.40066073877526,75.34749564851406,95.60417568184856,95.60417568184856,95.60417568184856
21,train/val,0.18416123800789533,0.12363127153366804,0.15132491318913904,70.44378420415298,76.02283640998414,91.22678698206927,0.12595230557024478,67.53035088386159,72.80287560606308,91.27822272594982,0.08410243183934575,106.07808828353882,0:37:09,80.82305873863537,76.02283640998414,77.98096140074988,95.41214222317433,95.41214222317433,95.41214222317433,81.43238314124045,72.80287560606308,75.60626176659399,95.44026646120288,95.44026646120288,95.44026646120288
22,train/val,0.1763757086439949,0.1176179036822008,0.14689450953965602,70.82815935427534,76.52328714563251,91.79234557114077,0.11631537087261677,69.13942093784402,74.9730885499714,91.84636244814337,0.08333747669413688,105.8608467578888,0:38:55,80.8196229454909,76.52328714563251,78.26920312209714,95.72055161825278,95.72055161825278,95.72055161825278,80.38743972409091,74.9730885499714,77.13927929102363,95.74991287413096,95.74991287413096,95.74991287413096
23,train/val,0.18242973182350397,0.1202612959212907,0.1554210874373498,71.20408267271962,76.71908721029511,91.7016986256821,0.11759185757488012,67.94219697615014,72.4598015116181,91.64703028811262,0.08257174056983133,106.27902555465698,0:40:41,81.13412467225949,76.71908721029511,78.53368056614161,95.6712426474002,95.6712426474002,95.6712426474002,82.28167332108943,72.4598015116181,75.92070935517559,95.64148231291144,95.64148231291144,95.64148231291144
24,train/val,0.16592384761442308,0.1116872733944784,0.13559143006315696,71.9906767030859,77.6008288250606,92.14213898244984,0.1155771940946579,69.24342920616874,74.50606517719041,91.9114130755871,0.08180521460508584,105.91671681404114,0:42:27,81.48744619227567,77.6008288250606,79.20107050305053,95.91039161988934,95.91039161988934,95.91039161988934,81.28094478430829,74.50606517719041,77.15348482347896,95.78524966556986,95.78524966556986,95.78524966556986
25,train/val,0.16289248556384575,0.11060000666538658,0.1307311944015648,71.61575058305715,77.28854436349226,92.19061544641352,0.11304532174021005,69.63166929192683,75.41696597645092,92.11615854565146,0.08103788974460405,105.990229845047,0:44:13,81.18682640332892,77.28854436349226,78.92464882616787,95.93664626368611,95.93664626368611,95.93664626368611,80.77485971461236,75.41696597645092,77.42168303598255,95.89631527403503,95.89631527403503,95.89631527403503
26,train/val,0.16551303985002247,0.11192052233356821,0.13398129288512078,72.17909437539276,77.54316448990065,92.01984311736423,0.11252536691725254,69.68891905353873,75.78630219155745,92.11016667462485,0.08026975673280368,106.1419517993927,0:45:59,81.76995721766343,77.54316448990065,79.30617842286811,95.84409780099746,95.84409780099746,95.84409780099746,80.629953583978,75.78630219155745,77.49366686437727,95.89306830453273,95.89306830453273,95.89306830453273
27,train/val,0.1780554385572348,0.12114341405179838,0.14228005816593117,71.87678548248574,77.61402802846914,91.52311577218937,0.11721368238329888,68.53555685196257,73.67856245109704,91.8814200095645,0.0795008061072074,105.93420076370239,0:47:45,81.30239718683202,77.61402802846914,79.1700540213186,95.57396286415181,95.57396286415181,95.57396286415181,81.5289976661012,73.67856245109704,76.61366877140895,95.76895981381061,95.76895981381061,95.76895981381061
28,train/val,0.16235730914480012,0.10940616834989708,0.13237784883898238,71.41011245464234,76.87316701909732,92.20127213232713,0.11157782696187496,70.16506470612657,75.60560741274767,92.18464911516422,0.07873102819154207,105.89122533798218,0:49:31,81.4294923952508,76.87316701909732,78.70515969841911,95.9424161031028,95.9424161031028,95.9424161031028,81.2029897793032,75.60560741274767,77.98241482760312,95.9334156391687,95.9334156391687,95.9334156391687
29,train/val,0.16332952933304984,0.1108446990787659,0.13121207244694233,72.40212319698242,77.91680792601716,92.1239400325103,0.11580567106604576,68.78441188485523,73.19461945970393,91.91706017575832,0.0779604130885303,105.9675064086914,0:51:17,81.77598388885173,77.91680792601716,79.55810238128961,95.90053172646941,95.90053172646941,95.90053172646941,82.70626039048334,73.19461945970393,76.62822275996402,95.78831615238411,95.78831615238411,95.78831615238411
30,train/val,0.16346044421357953,0.11100641575277499,0.13113507104065755,72.53908804615881,77.85805268463203,92.08273691051565,0.11288940358906985,69.9746181284861,75.17961030748694,92.14456237096815,0.07718895067235705,105.91183471679688,0:53:03,82.01100161693748,77.85805268463203,79.56856943788463,95.87820164538122,95.87820164538122,95.87820164538122,81.76201682973551,75.17961030748694,77.67867372057844,95.91170443123674,95.91170443123674,95.91170443123674
