epoch,phase,train_total_loss,train_main_loss,train_aux_loss,train_miou,train_macc,train_aacc,val_total_loss,val_miou,val_macc,val_aacc,learning_rate,epoch_time_sec,total_training_time_str,train_Precision_Macro,train_Recall_Macro,train_F1_Macro,train_Precision_Micro,train_Recall_Micro,train_F1_Micro,val_Precision_Macro,val_Recall_Macro,val_F1_Macro,val_Precision_Micro,val_Recall_Micro,val_F1_Micro
1,train/val,1.081243056335462,0.7271129674783632,0.8853252025142001,28.44300643957485,35.31436271771953,65.30558831636026,0.352639151096344,44.24529887945391,53.36840394759999,79.72292714168361,0.09924968654093967,1094.0203409194946,0:18:14,49.15725021196904,35.31436271771953,37.909866751491265,79.0119547457513,79.0119547457513,79.0119547457513,72.04029674849554,53.36840394759999,55.95950249979404,88.7175925849844,88.7175925849844,88.7175925849844
2,train/val,0.659071953778068,0.44422685905098513,0.5371127261478947,41.366786149275356,49.05056163206879,76.27556596841255,0.31316347656399013,49.983444687072165,57.77839334064508,81.47398043700063,0.0984987422935722,1083.7437348365784,0:36:17,65.24753815008935,49.05056163206879,53.47318505320563,86.54128046547375,86.54128046547375,86.54128046547375,78.61966497356612,57.77839334064508,63.02284133568272,89.79136319246012,89.79136319246012,89.79136319246012
3,train/val,0.5734848300522417,0.3853840762855787,0.4702518747038463,46.16534111307612,54.40230541741195,78.96953411380477,0.26297347229719165,53.476445696991526,62.188911542876845,84.42596149886417,0.09774716137503496,1082.0826995372772,0:54:19,69.31533247806465,54.40230541741195,59.03240150720192,88.24913637377956,88.24913637377956,88.24913637377956,79.13533566732376,62.188911542876845,65.91789363751079,91.555397963192,91.555397963192,91.555397963192
4,train/val,0.5418856288654017,0.3635368298390967,0.4458719874709023,47.61518815387337,55.71104051318415,80.15499256232673,0.27867632057517766,56.06982488978327,64.83085588095832,83.37304314500442,0.09699493779682662,1083.7313628196716,1:12:23,70.1550296825867,55.71104051318415,60.35040051871044,88.98448099860033,88.98448099860033,88.98448099860032,78.56501635198852,64.83085588095832,69.45235111629393,90.93271477103228,90.93271477103228,90.93271477103228
5,train/val,0.47857795981408446,0.3178284952633719,0.40187365347275256,51.4549846426622,59.88039443643456,81.81801386799997,0.23257188100367784,58.73259550796893,67.25107262062983,85.73876167746128,0.09624206546198262,1083.4790172576904,1:30:27,73.34738375896579,59.88039443643456,64.67204142709238,89.99989839004611,89.99989839004611,89.99989839004611,80.4880439611909,67.25107262062983,71.97024177253265,92.32188359944834,92.32188359944834,92.32188359944834
6,train/val,0.48198150620916663,0.32417095687538483,0.39452636665298224,52.993780151615546,61.72080861913264,82.0502686367999,0.2405376981496811,57.99792015414206,67.74181772743995,85.29889674432826,0.09548853816214997,1082.9656496047974,1:48:30,73.93069330586579,61.72080861913264,66.32259293243912,90.14023352033016,90.14023352033016,90.14023352033016,78.1624906989764,67.74181772743995,70.64045434601363,92.0662758850874,92.0662758850874,92.0662758850874
7,train/val,0.44020231091934076,0.2935430835794705,0.3666480613851114,55.011575037263114,64.03807852115753,83.17691581962366,0.24042928268015384,56.727572963905274,62.99398652895283,85.04810502438225,0.09473434957455691,1083.297042131424,2:06:33,74.96499384282865,64.03807852115753,68.4002321963279,90.81593654686148,90.81593654686148,90.81593654686148,83.75882927946708,62.99398652895283,69.83209343054418,91.91999562835423,91.91999562835423,91.91999562835423
8,train/val,0.41628557024241775,0.2783904007880898,0.3447379166687505,55.44382095021743,64.129318333557,84.13294763697343,0.22753960755467414,59.171690071587605,67.23102290561705,85.96749289276282,0.09397949325887223,1083.0537662506104,2:24:36,76.07920858403254,64.129318333557,68.63708701249053,91.38282824087018,91.38282824087018,91.38282824087018,81.52913685134283,67.23102290561705,71.97289251240623,92.45432258672814,92.45432258672814,92.45432258672814
9,train/val,0.3987568401416517,0.26672216644103525,0.33008667893542404,56.7875645514656,65.8033781630493,84.42587981817783,0.20927221078425645,61.765334516541074,69.46312651046105,87.09217436715797,0.09322396265394996,1083.0788960456848,2:42:39,76.43385994544481,65.8033781630493,70.02548964952159,91.55534993398085,91.55534993398085,91.55534993398085,83.38002956722886,69.46312651046105,74.44057273448597,93.10082012970187,93.10082012970187,93.10082012970187
10,train/val,0.3987422220223529,0.26521404683289307,0.3338204315176488,56.598845334229686,65.1026392073654,84.51614267603512,0.22266130340099335,61.51917695867698,70.29698257225675,86.14027044363277,0.09246775107445347,1082.0636854171753,3:00:41,77.24754359861564,65.1026392073654,69.76926798080174,91.60839962325099,91.60839962325099,91.60839962325099,82.1896806177061,70.29698257225675,74.29055265461541,92.55414772776736,92.55414772776736,92.55414772776736
